nco_code,title
2114.05,
2114.05,Hydrologist
2114.0500,
2114.0500,Hydrologist
2114.06,Mineralogist
2114.06,
2114.0600,
2114.0600,Mineralogist
2114.07,Seismologist
2114.07,
2114.0700,
2114.0700,Seismologist
2114.08,
2114.08,Oceanographer
2114.0800,Oceanographer
2114.0800,
2114.15,
2114.15,"Geologist, Petroleum"
2114.1500,
2114.1500,"Geologist, Petroleum"
2114.55,"Hydrographer, Waterworks"
2114.55,
2114.5500,"Hydrographer, Waterworks"
2114.5500,
2114.99,"Geologists and Geophysicists,"
2114.99,
2114.99,"Geologists and Geophysicists, Other"
2114.9900,
2114.9900,"Geologists and Geophysicists, Other"
2114.9900,"Geologists and Geophysicists,"
2120.01,Mathematician
2120.01,
2120.0100,Mathematician
2120.0100,
2120.02,Actuary
2120.02,
2120.0200,Actuary
2120.0200,
2120.03,Statistician
2120.03,
2120.0300,
2120.0300,Statistician
2120.04,
2120.04,"Statistician, Applied"
2120.0400,"Statistician, Applied"
2120.0400,
2120.05,
2120.05,Operation Research Analyst
2120.0500,Operation Research Analyst
2120.0500,
2120.0501,Associate – Clinical
2120.0501,Associate – Analytics
2120.0501,Associate -Analytics
2120.99,
2120.99,"Mathematicians, Actuaries and Statisticians,"
2120.99,"Mathematicians, Actuaries and"
2120.9900,"Mathematicians, Actuaries and"
2120.9900,
2120.9900,"Mathematicians, Actuaries and Statisticians,"
2131.01,"Biologist, General"
2131.01,
2131.0100,"Biologist, General"
2131.0100,
2131.02,
2131.02,Marine Biologist
2131.0200,Marine Biologist
2131.0200,
2131.03,
2131.03,Cytologist
2131.0300,
2131.0300,Cytologist
2131.04,"Botanist, General"
2131.04,
2131.0400,
2131.0400,"Botanist, General"
2131.05,Economic Botanist
2131.05,
2131.0500,
2131.0500,Economic Botanist
2131.06,
2131.06,Plant Breeder
2131.0600,Plant Breeder
2131.0600,
2131.07,
2131.07,Mycologist
2131.0700,Mycologist
2131.0700,
2131.08,
2131.08,Algologist
2131.0800,Algologist
2131.0800,
2131.09,
2131.09,"Zoologist, General"
2131.0900,"Zoologist, General"
2131.0900,
2131.1,
2131.1,Entomologist
2131.1000,
2131.1000,Entomologist
2131.11,
2131.11,Parasitologist
2131.1100,Parasitologist
2131.1100,
2131.12,Bacteriologist
2131.12,
2131.1200,
2131.1200,Bacteriologist
2131.13,"Chemist, Biological"
2131.13,
2131.1300,"Chemist, Biological"
2131.1300,
2131.14,"Chemist, Food"
2131.14,
2131.1400,"Chemist, Food"
2131.1400,
2131.15,
2131.15,Plant Pathologist
2131.1500,
2131.1500,Plant Pathologist
2131.18,Plant Phys iologist
2131.18,Plant Physiologist
2131.18,
2131.1800,
2131.1800,Plant Phys iologist
2131.1800,Plant Physiologist
2131.99,"Biologists, Botanists, Zoologists and Related"
2131.99,
2131.99,"Biologists, Botanists, Zoologists and"
2131.9900,"Biologists, Botanists, Zoologists and"
2131.9900,"Biologists, Botanists, Zoologists and Related"
2131.9900,
2132.01,Agronomist
2132.01,
2132.0100,
2132.0100,Agronomist
2132.02,Horticulturist
2132.02,
2132.0200,Horticulturist
2132.0200,
2132.03,Soil Scientist
2132.03,
2132.0300,
2132.0300,Soil Scientist
2132.04,Soil Conservationist
2132.04,
2132.0400,
2132.0400,Soil Conservationist
2132.05,Silviculturist
2132.05,
2132.0500,
2132.0500,Silviculturist
2132.06,Wood Anatomist
2132.06,
2132.0600,Wood Anatomist
2132.0600,
2132.07,
2132.07,Dairy Scientist
2132.0700,Dairy Scientist
2132.0700,
2132.08,
2132.08,Poultry Scientist
2132.0800,Poultry Scientist
2132.0800,
2132.09,
2132.09,Pisciculturist
2132.0900,
2132.0900,Pisciculturist
2132.1,"Farm Overseer, Crop Production"
2132.1,
2132.1000,"Farm Overseer, Crop Production"
2132.1000,
2132.99,
2132.99,Agronomists and Related
2132.99,"Agronomists and Related Professionals, Other"
2132.9900,"Agronomists and Related Professionals, Other"
2132.9900,
2132.9900,Agronomists and Related
2133.01,Ecologist
2133.01,
2133.0100,Ecologist
2133.0100,
2133.02,Environment Scientist (Including Health)
2133.02,
2133.02,Environment Scientist (Including
